time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-01T18:54:38.390Z,35.8059998,-120.3378296,3.67,2.03,md,20,104,0.0273,0.07,nc,nc73204446,2019-07-01T22:13:04.274Z,"10km NNW of Cholame, CA",earthquake,0.28,0.43,0.35,10,automatic,nc,nc
2019-07-01T18:52:47.968Z,59.6329,-136.8128,16.7,1.6,ml,,,,0.95,ak,ak0198dau7p8,2019-07-01T18:58:26.310Z,"86km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-01T18:48:55.025Z,61.822,-147.2283,37.1,1.2,ml,,,,0.77,ak,ak0198datddj,2019-07-01T18:54:04.403Z,"85km E of Sutton-Alpine, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-01T18:46:00.980Z,38.8236656,-122.80867,2.63,0.55,md,13,64,0.00113,0.02,nc,nc73204441,2019-07-01T18:56:03.787Z,"7km NW of The Geysers, CA",earthquake,0.35,0.79,,1,automatic,nc,nc
2019-07-01T18:45:10.089Z,60.2,-152.2164,69.8,1,ml,,,,1.09,ak,ak0198dasmr7,2019-07-01T18:50:12.897Z,"43km SE of Redoubt Volcano, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-07-01T18:40:01.028Z,69.5626,-144.283,0,2,ml,,,,0.9,ak,ak0198darjhi,2019-07-01T18:44:21.087Z,"68km SSW of Kaktovik, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-07-01T18:23:09.840Z,33.221,-116.7386667,11.1,0.74,ml,30,41,0.07966,0.19,ci,ci38439311,2019-07-01T18:28:55.602Z,"3km SE of Lake Henshaw, CA",earthquake,0.32,0.83,0.209,16,automatic,ci,ci
2019-07-01T18:22:53.571Z,66.3169,-157.2014,7.4,1.4,ml,,,,0.4,ak,ak0198dansn8,2019-07-01T18:34:38.809Z,"67km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T18:15:56.270Z,38.7971649,-122.8274994,4.2,0.43,md,11,119,0.007016,0.04,nc,nc73204431,2019-07-01T18:32:02.640Z,"6km WNW of The Geysers, CA",earthquake,1.07,2.57,0.13,2,automatic,nc,nc
2019-07-01T18:14:01.582Z,61.407,-150.0264,21.3,2.1,ml,,,,0.77,ak,ak0198dalyxg,2019-07-01T18:19:22.325Z,"13km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T18:12:06.880Z,37.2773333,-121.6513333,6.51,1.53,md,41,68,0.02525,0.05,nc,nc73204426,2019-07-02T01:39:03.470Z,"16km N of Morgan Hill, CA",earthquake,0.14,0.24,0.194,36,reviewed,nc,nc
2019-07-01T18:11:29.298Z,59.7592,-136.5741,10,2.5,ml,,84,0.604,0.74,us,us7000486i,2019-07-01T20:07:04.040Z,"78km WNW of Skagway, Alaska",earthquake,4.7,2,,,reviewed,us,ak
2019-07-01T18:10:39.710Z,38.7963333,-122.739502,1.01,0.89,md,11,88,0.01847,0.03,nc,nc73204421,2019-07-01T18:23:04.593Z,"3km NE of The Geysers, CA",earthquake,0.26,0.57,0.06,5,automatic,nc,nc
2019-07-01T18:08:50.354Z,62.583,-152.8482,0,1.3,ml,,,,1.19,ak,ak0198daksca,2019-07-01T18:15:28.778Z,"144km WNW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-01T18:01:21.781Z,37.7794,-114.3203,0,1.2,ml,6,84.04,0.216,0.1137,nn,nn00688977,2019-07-01T22:33:44.176Z,"20km SE of Pioche, Nevada",earthquake,,0,0.33,2,reviewed,nn,nn
2019-07-01T17:45:35.560Z,37.4104996,-121.7581635,7.37,2.45,md,53,47,0.03851,0.05,nc,nc73204406,2019-07-02T04:39:39.316Z,"8km NE of Alum Rock, CA",earthquake,0.15,0.34,0.12,58,automatic,nc,nc
2019-07-01T17:35:12.670Z,38.8204994,-122.8450012,2.24,0.57,md,8,143,0.008216,0.03,nc,nc73204396,2019-07-01T20:09:04.561Z,"9km WNW of The Geysers, CA",earthquake,0.52,1.27,,1,automatic,nc,nc
2019-07-01T17:22:56.990Z,36.5823333,-121.42,1.05,1.23,md,19,55,0.02078,0.03,nc,nc73204386,2019-07-02T02:54:03.200Z,"9km NNE of Gonzales, CA",earthquake,0.18,0.22,0.307,15,reviewed,nc,nc
